               t           period             LE_1             LE_2          LEref_1          LEref_2  
     5.881088456                1     -0.318267439      0.077273578      0.000000000      0.149141556
    11.762176911                2     -0.022254562      0.171396119      0.000000000      0.149141556
    17.643265367                3      0.032074432      0.117067124      0.000000000      0.149141556
    23.524353822                4      0.072114677      0.077026880      0.000000000      0.149141556
    29.405442278                5     -0.018794436      0.167935993      0.000000000      0.149141556
    35.286530733                6      0.011376783      0.137764774      0.000000000      0.149141556
    41.167619189                7     -0.004237508      0.153379065      0.000000000      0.149141556
    47.048707644                8      0.001858022      0.147283535      0.000000000      0.149141556
    52.929796100                9     -0.000757097      0.149898654      0.000000000      0.149141556
    58.810884556               10      0.000317723      0.148823833      0.000000000      0.149141556
    64.691973011               11     -0.000131689      0.149273245      0.000000000      0.149141556
    70.573061467               12      0.000054863      0.149086694      0.000000000      0.149141556
    76.454149922               13     -0.000022808      0.149164364      0.000000000      0.149141556
    82.335238378               14      0.000009490      0.149132067      0.000000000      0.149141556
    88.216326833               15     -0.000003947      0.149145504      0.000000000      0.149141556
    94.097415289               16      0.000001642      0.149139915      0.000000000      0.149141556
    99.978503744               17     -0.000000683      0.149142240      0.000000000      0.149141556
   105.859592200               18      0.000000284      0.149141272      0.000000000      0.149141556
   111.740680656               19     -0.000000118      0.149141675      0.000000000      0.149141556
   117.621769111               20      0.000000049      0.149141507      0.000000000      0.149141556
   123.502857567               21     -0.000000020      0.149141577      0.000000000      0.149141556
   129.383946022               22      0.000000009      0.149141548      0.000000000      0.149141556
   135.265034478               23     -0.000000004      0.149141560      0.000000000      0.149141556
   141.146122933               24      0.000000001      0.149141555      0.000000000      0.149141556
   147.027211389               25     -0.000000001      0.149141557      0.000000000      0.149141556
   152.908299844               26      0.000000000      0.149141556      0.000000000      0.149141556
   158.789388300               27     -0.000000000      0.149141557      0.000000000      0.149141556
   164.670476756               28      0.000000000      0.149141557      0.000000000      0.149141556
   170.551565211               29     -0.000000000      0.149141557      0.000000000      0.149141556
   176.432653667               30      0.000000000      0.149141557      0.000000000      0.149141556
